case,dy_tag,dy_m,target_time_s,actual_time_s,time_delta_s,slice_x_m,target_y_m,actual_y_m,n_points,l2_norm_C,rmse_C,max_abs_error_C
d_M5,dy08,0.8,200.0,200.00721740722656,0.0072174072265625,8.132049560546875,2.25,2.2266666198770206,16,68.24754576941478,17.061886442353696,40.5512245307535
d_M5,dy08,0.8,210.0,210.00442504882812,0.004425048828125,8.132049560546875,2.25,2.2266666198770206,16,92.2264051995721,23.056601299893025,48.71820145946444
d_M5,dy08,0.8,220.0,220.0050811767578,0.0050811767578125,8.132049560546875,2.25,2.2266666198770206,16,56.44022453686354,14.110056134215885,23.304151777272324
d_M5,dy08,0.8,230.0,230.00802612304688,0.008026123046875,8.132049560546875,2.25,2.2266666198770206,16,82.7208757855847,20.680218946396174,46.36360532035676
d_M5,dy08,0.8,240.0,240.00572204589844,0.0057220458984375,8.132049560546875,2.25,2.2266666198770206,16,84.39245217347059,21.098113043367647,36.575836957511314
d_M5,dy08,0.8,250.0,250.005615234375,0.005615234375,8.132049560546875,2.25,2.2266666198770206,16,70.59812308918531,17.649530772296327,41.73056218794057
d_M5,dy08,0.8,260.0,260.0086975097656,0.008697509765625,8.132049560546875,2.25,2.2266666198770206,16,86.68098002246822,21.670245005617055,35.43305701669197
d_M5,dy08,0.8,270.0,270.0089416503906,0.008941650390625,8.132049560546875,2.25,2.2266666198770206,16,102.70507657257879,25.676269143144697,47.75180532430201
d_M5,dy08,0.8,280.0,280.01068115234375,0.01068115234375,8.132049560546875,2.25,2.2266666198770206,16,86.82301009822032,21.70575252455508,34.89488407628342
d_M5,dy08,0.8,290.0,290.0057678222656,0.005767822265625,8.132049560546875,2.25,2.2266666198770206,16,105.19349955607215,26.29837488901804,52.30230537965454
d_M5,dy08,0.8,300.0,300.0,0.0,8.132049560546875,2.25,2.2266666198770206,16,126.69052290992157,31.672630727480392,56.761307538566
dq_M5,dy08,0.8,0.0,0.0,0.0,8.132049560546875,2.25,2.2266666198770206,16,580.2683902891357,145.06709757228393,227.45762711864413
dq_M5,dy08,0.8,10.0,10.006834983825684,0.006834983825683594,8.132049560546875,2.25,2.2266666198770206,16,559.6795795708911,139.91989489272277,197.73707211363583
dq_M5,dy08,0.8,20.0,20.000368118286133,0.0003681182861328125,8.132049560546875,2.25,2.2266666198770206,16,516.0975490357665,129.02438725894163,187.82899607597938
dq_M5,dy08,0.8,30.0,30.00543975830078,0.00543975830078125,8.132049560546875,2.25,2.2266666198770206,16,268.5733217015504,67.1433304253876,89.95948504892336
dq_M5,dy08,0.8,40.0,40.00568771362305,0.005687713623046875,8.132049560546875,2.25,2.2266666198770206,16,112.01609361592652,28.00402340398163,38.657760779542656
dq_M5,dy08,0.8,50.0,50.007999420166016,0.007999420166015625,8.132049560546875,2.25,2.2266666198770206,16,106.1141499946929,26.528537498673224,57.13107989098429
dq_M5,dy08,0.8,60.0,60.002803802490234,0.002803802490234375,8.132049560546875,2.25,2.2266666198770206,16,59.74388308481291,14.935970771203227,37.59871192119058
dq_M5,dy08,0.8,70.0,70.00408172607422,0.00408172607421875,8.132049560546875,2.25,2.2266666198770206,16,110.05295326538682,27.513238316346705,44.582585618422314
dq_M5,dy08,0.8,80.0,80.00511169433594,0.0051116943359375,8.132049560546875,2.25,2.2266666198770206,16,73.13719649753473,18.284299124383683,47.55875994574035
dq_M5,dy08,0.8,90.0,90.00167846679688,0.001678466796875,8.132049560546875,2.25,2.2266666198770206,16,121.05038995482953,30.26259748870738,52.65770411087291
dq_M5,dy08,0.8,100.0,100.00457000732422,0.00457000732421875,8.132049560546875,2.25,2.2266666198770206,16,109.70540981400876,27.42635245350219,51.02342146534025
dq_M5,dy08,0.8,110.0,110.00169372558594,0.0016937255859375,8.132049560546875,2.25,2.2266666198770206,16,86.16435061236085,21.541087653090212,35.161095063205316
dq_M5,dy08,0.8,120.0,120.00157928466797,0.00157928466796875,8.132049560546875,2.25,2.2266666198770206,16,133.81423153539987,33.45355788384997,72.90111943323095
dq_M5,dy08,0.8,130.0,130.00796508789062,0.007965087890625,8.132049560546875,2.25,2.2266666198770206,16,78.72564871510085,19.68141217877521,36.544406862083974
dq_M5,dy08,0.8,140.0,140.00938415527344,0.0093841552734375,8.132049560546875,2.25,2.2266666198770206,16,87.15138497542658,21.787846243856645,31.713971273733556
dq_M5,dy08,0.8,150.0,150.00335693359375,0.00335693359375,8.132049560546875,2.25,2.2266666198770206,16,82.47084414994322,20.617711037485805,37.58128279346525
dq_M5,dy08,0.8,160.0,160.00360107421875,0.00360107421875,8.132049560546875,2.25,2.2266666198770206,16,79.96332036153943,19.990830090384858,36.36864351866443
dq_M5,dy08,0.8,170.0,170.00840759277344,0.0084075927734375,8.132049560546875,2.25,2.2266666198770206,16,80.18667638250375,20.046669095625937,31.818933548494407
dq_M5,dy08,0.8,180.0,180.00643920898438,0.006439208984375,8.132049560546875,2.25,2.2266666198770206,16,62.338526852978326,15.584631713244582,34.627485839900444
dq_M5,dy08,0.8,190.0,190.00473022460938,0.004730224609375,8.132049560546875,2.25,2.2266666198770206,16,84.95762625755346,21.239406564388364,29.734275624789163
dq_M5,dy08,0.8,200.0,200.0076446533203,0.0076446533203125,8.132049560546875,2.25,2.2266666198770206,16,65.15127801845183,16.28781950461296,28.03486328709559
dq_M5,dy08,0.8,210.0,210.00909423828125,0.00909423828125,8.132049560546875,2.25,2.2266666198770206,16,71.26989836356609,17.81747459089152,31.487444971287005
dq_M5,dy08,0.8,220.0,220.0034942626953,0.0034942626953125,8.132049560546875,2.25,2.2266666198770206,16,95.42572045331453,23.85643011332863,59.163604034856036
dq_M5,dy08,0.8,230.0,230.00086975097656,0.0008697509765625,8.132049560546875,2.25,2.2266666198770206,16,62.99328950662802,15.748322376657004,31.681002122441924
dq_M5,dy08,0.8,240.0,240.00914001464844,0.0091400146484375,8.132049560546875,2.25,2.2266666198770206,16,49.057545036762676,12.264386259190669,31.41412600713675
dq_M5,dy08,0.8,250.0,250.0065155029297,0.0065155029296875,8.132049560546875,2.25,2.2266666198770206,16,85.20432214004431,21.301080535011078,44.2512657036215
dq_M5,dy08,0.8,260.0,260.0009460449219,0.000946044921875,8.132049560546875,2.25,2.2266666198770206,16,51.35611894686001,12.839029736715002,31.407653677510574
dq_M5,dy08,0.8,270.0,270.0084228515625,0.0084228515625,8.132049560546875,2.25,2.2266666198770206,16,107.64291800693562,26.910729501733904,44.64198195344761
dq_M5,dy08,0.8,280.0,280.0022888183594,0.002288818359375,8.132049560546875,2.25,2.2266666198770206,16,62.99501941472624,15.74875485368156,34.368858959161656
dq_M5,dy08,0.8,290.0,290.0093994140625,0.0093994140625,8.132049560546875,2.25,2.2266666198770206,16,77.40643570210608,19.35160892552652,29.71466025659592
dq_M5,dy08,0.8,300.0,300.0,0.0,8.132049560546875,2.25,2.2266666198770206,16,63.026370678838084,15.756592669709521,31.300345603955257
